memory_matrix_accuracy,memory_matrix_avg_time,pattern_sequence_accuracy,pattern_sequence_avg_time,multi_switch_accuracy,switch_cost_ms,dual_task_memory_accuracy,dual_task_math_accuracy,cpt_accuracy,cpt_false_positives,keep_track_accuracy,operation_span_processing_accuracy,operation_span_storage_accuracy,find_the_box_accuracy,color_number_accuracy,color_number_false_clicks,rule_discovery_accuracy,average_rule_guesses,average_discovery_time_ms,overall_score,behavior_profile
91.03,2245.49,89.78,2002.24,83.93,462.54,91.24,74.6,77.56,2,89.54,74.64,71.55,79.59,75.1,3,98.94,2.93,4906.81,80.19,Careful
57.27,1356.16,45.26,1133.4,61.26,585.59,53.4,62.11,59.25,7,58.93,52.55,59.11,62.32,58.29,8,55.26,3.91,5946.88,57.81,Impulsive
99.53,1709.98,91.6,1412.61,99.97,345.39,100.0,99.77,96.27,1,67.45,87.32,100.0,87.16,99.17,2,100.0,1.6,5077.71,90.51,Careful
40.7,1911.44,20.0,1516.33,38.35,473.9,48.53,47.09,37.91,3,33.16,30.49,33.15,39.92,29.12,5,42.39,4.26,7758.45,35.06,Inconsistent
86.97,2254.81,81.92,2442.59,85.37,585.83,82.75,91.18,86.9,1,82.65,92.22,94.29,77.53,77.67,0,100.0,2.22,5866.42,83.99,Careful
83.49,2088.45,78.93,1723.95,71.3,500.26,75.02,60.03,83.38,1,88.11,63.77,87.12,84.25,75.82,0,81.35,3.07,5672.15,77.94,Careful
63.45,2018.7,60.73,2031.99,72.67,619.26,46.3,50.8,56.91,5,71.05,67.24,45.96,56.2,49.1,5,59.33,3.92,7594.6,56.29,Inconsistent
94.99,1656.58,87.09,1883.8,100.0,502.5,97.29,100.0,92.42,1,99.2,90.89,97.05,95.58,99.5,1,97.4,2.68,4680.2,97.94,Careful
82.48,1554.53,79.16,1217.38,83.65,351.67,69.03,78.91,70.95,0,82.09,63.97,81.78,67.24,75.93,0,87.05,2.97,6003.82,78.4,Efficient
55.61,1799.02,50.34,2077.0,48.94,642.87,53.52,48.76,51.45,6,63.3,48.37,50.84,45.74,60.69,3,36.65,3.52,6468.05,48.15,Inconsistent
59.77,1308.94,34.54,1212.18,60.64,438.84,78.85,63.2,58.86,7,54.82,58.87,69.31,54.23,66.56,5,61.19,4.18,5939.6,59.2,Impulsive
84.34,1470.11,91.54,1458.24,83.32,294.56,84.1,95.32,88.89,3,100.0,85.27,97.12,89.9,95.49,2,85.1,2.93,6143.5,93.24,Efficient
87.72,1369.9,100.0,1147.36,100.0,255.37,94.96,76.03,84.21,0,86.03,90.09,81.46,89.49,100.0,0,95.07,2.58,5290.47,88.42,Efficient
52.43,1845.58,33.71,1719.74,55.6,758.39,37.88,58.1,54.54,10,60.07,48.61,53.9,59.09,46.25,5,59.17,4.37,5860.79,53.64,Inconsistent
92.32,1013.6,83.41,1265.41,80.59,204.88,95.42,92.93,83.44,1,86.01,86.36,89.24,83.44,100.0,1,77.38,2.72,5112.95,87.66,Efficient
87.58,1273.47,100.0,774.47,87.34,283.38,100.0,100.0,100.0,2,99.5,92.27,91.58,93.5,91.42,0,100.0,2.65,5847.99,97.26,Efficient
84.72,1569.64,81.27,1537.93,88.43,319.85,86.74,89.2,82.91,1,92.32,77.75,83.66,96.21,78.13,2,96.63,3.19,6059.77,88.55,Careful
94.41,1408.78,89.39,1399.77,87.35,328.84,75.93,81.23,96.26,1,87.4,91.3,82.04,88.84,78.09,2,89.97,2.54,4980.43,92.69,Efficient
61.2,1357.42,53.48,1289.35,42.65,491.92,48.02,59.29,57.39,8,59.6,53.12,57.75,61.06,74.94,10,52.53,4.08,5788.69,54.57,Impulsive
40.94,1428.67,46.88,1149.99,20.15,456.04,34.66,37.06,32.79,11,20.22,42.18,40.05,30.14,41.87,8,36.23,3.62,7257.25,35.66,Impulsive
90.14,1138.23,100.0,892.8,87.41,254.99,100.0,85.91,90.7,2,82.49,94.7,100.0,90.44,89.49,3,81.03,3.7,4782.59,94.34,Efficient
77.35,2142.47,66.15,2098.41,77.85,485.05,85.22,83.43,89.53,1,97.98,88.41,93.4,88.47,96.02,0,98.99,3.03,5106.42,85.49,Careful
90.23,1366.69,90.21,1367.49,88.32,546.56,77.15,92.43,91.93,2,100.0,82.34,87.51,100.0,94.97,0,97.57,2.8,4668.02,91.21,Efficient
72.46,1627.69,64.71,1836.33,72.39,717.73,72.69,67.68,50.46,3,59.61,52.8,84.43,53.49,49.55,5,36.59,3.47,5832.98,61.49,Inconsistent
93.58,1262.77,61.52,1165.48,77.17,271.43,84.53,82.39,88.06,0,83.05,78.18,74.26,72.91,76.48,0,77.33,2.59,5116.49,81.29,Efficient
36.38,1677.0,48.66,1772.68,55.46,424.45,48.04,36.27,44.37,2,53.15,30.32,51.09,46.24,57.43,2,46.17,3.82,6763.78,51.38,Inconsistent
56.32,1289.55,50.27,1764.19,49.75,498.72,58.37,53.53,45.82,5,40.98,57.91,47.1,53.49,57.91,6,42.38,3.79,6069.11,51.17,Inconsistent
53.72,878.68,34.18,1213.47,40.86,345.41,39.08,47.4,51.63,7,36.67,70.98,39.24,47.42,44.56,6,44.95,4.89,7477.53,40.82,Impulsive
92.27,1372.2,93.26,1292.76,80.92,206.49,96.7,98.11,89.89,2,76.82,87.86,90.33,79.62,85.89,1,76.09,2.87,4990.4,85.13,Efficient
86.49,1948.48,78.59,1759.79,85.06,388.53,65.7,65.06,83.48,1,89.89,79.61,98.67,69.97,76.07,0,82.77,2.63,5908.2,80.46,Careful
100.0,2056.35,70.06,1913.46,92.71,551.1,89.26,92.43,84.3,0,93.95,92.79,100.0,92.18,100.0,2,77.65,2.54,4659.29,88.42,Careful
100.0,2013.42,94.54,1936.72,100.0,574.3,91.95,92.81,93.86,0,92.8,91.35,88.12,85.88,94.72,0,100.0,2.31,5018.95,93.16,Careful
44.04,1305.03,67.01,1274.96,43.86,600.3,58.91,47.91,51.61,7,52.69,66.2,57.72,56.13,63.42,5,47.35,3.51,5876.61,51.68,Impulsive
80.11,1626.74,100.0,1824.85,98.7,607.25,80.86,90.04,100.0,6,100.0,77.61,94.15,96.79,100.0,4,98.17,2.18,4221.87,91.48,Inconsistent
39.52,1297.06,33.8,1399.69,39.28,494.64,46.2,41.28,43.71,2,49.07,52.16,41.02,35.15,44.11,1,47.74,4.23,6079.13,38.27,Inconsistent
99.15,1753.58,79.52,1467.4,84.81,287.67,91.46,92.62,80.61,0,83.31,77.44,94.26,98.75,79.51,0,98.25,3.17,5106.76,85.62,Careful
93.3,1052.95,90.34,584.86,90.19,468.28,80.64,84.36,92.4,0,72.05,96.2,88.05,93.38,95.73,0,100.0,2.62,5101.73,90.89,Efficient
53.61,865.87,51.56,1269.38,71.38,557.08,51.5,67.95,56.7,9,59.12,63.82,54.53,63.87,42.95,5,63.28,3.35,5684.73,58.6,Impulsive
64.87,901.98,65.61,1470.41,64.7,402.31,53.59,62.88,64.93,11,60.27,66.3,63.77,69.79,68.91,8,65.11,3.64,6772.29,67.99,Impulsive
40.76,928.32,46.63,874.83,42.57,382.48,53.73,53.44,43.67,8,32.13,35.32,45.33,33.07,42.64,6,58.38,4.23,7085.83,45.86,Impulsive
33.99,1257.1,40.86,1183.9,48.26,506.08,38.17,63.89,49.04,10,54.16,50.09,58.55,37.43,23.24,7,39.71,4.56,6216.68,41.14,Impulsive
73.74,1996.89,88.52,2492.24,75.51,776.51,62.55,67.88,61.53,2,76.15,76.52,74.63,86.66,87.62,2,76.49,2.36,6730.12,73.29,Inconsistent
78.18,1888.25,80.4,1877.35,91.48,573.63,85.26,82.74,74.94,1,74.4,73.31,94.0,87.79,76.65,4,78.46,3.26,6226.18,82.74,Careful
54.27,1721.81,47.33,1688.11,54.17,689.73,67.02,56.39,57.71,4,56.86,69.74,52.36,62.0,59.24,6,60.4,3.53,5169.56,58.99,Inconsistent
65.81,1900.37,79.79,2170.74,67.33,769.08,60.09,58.77,62.38,4,56.55,64.64,44.24,61.84,62.47,4,53.08,2.83,5837.02,63.05,Inconsistent
62.17,1401.94,37.01,1425.67,60.43,502.97,41.47,52.48,61.44,2,56.28,67.42,57.87,57.06,66.15,0,54.33,3.07,5928.62,51.08,Inconsistent
72.69,2189.75,58.89,2262.03,72.29,352.66,73.17,81.28,77.1,0,70.08,78.43,90.89,85.58,60.94,1,98.49,2.52,6153.47,79.81,Careful
31.52,1021.73,47.7,1270.98,45.84,515.6,48.58,58.19,32.89,10,40.54,49.99,32.61,57.07,48.21,9,52.88,4.45,6174.01,43.97,Impulsive
71.31,1759.54,59.48,1635.51,65.34,661.26,59.83,61.82,69.35,5,71.27,71.08,68.73,69.95,62.79,5,78.59,3.83,5127.17,73.21,Inconsistent
87.02,1081.52,81.11,988.42,100.0,386.72,100.0,100.0,98.68,0,91.9,100.0,83.28,93.81,98.84,0,97.55,2.52,4643.89,93.97,Efficient
63.5,1183.65,61.97,1308.08,54.58,440.94,42.76,57.78,58.34,10,56.7,32.2,61.72,48.99,61.77,8,71.59,3.78,5674.57,61.04,Impulsive
43.9,2268.19,42.83,1753.12,28.5,435.97,39.82,32.16,36.96,5,48.29,71.92,46.92,48.03,39.28,3,35.93,4.26,7799.75,42.93,Inconsistent
43.53,2077.13,42.54,2320.34,42.1,746.21,29.12,33.58,39.54,0,32.89,35.69,41.44,35.12,39.72,1,52.25,3.76,6731.22,39.39,Inconsistent
49.7,1463.12,50.23,1028.92,52.24,535.9,52.22,40.59,54.81,12,49.36,65.09,59.27,60.17,67.29,9,59.02,3.86,6413.93,53.3,Impulsive
100.0,1203.76,100.0,949.4,100.0,352.02,100.0,95.46,100.0,1,90.06,97.35,97.44,100.0,93.88,0,100.0,2.49,5098.53,99.45,Efficient
86.82,1654.6,100.0,2256.55,100.0,260.17,100.0,95.4,92.71,0,100.0,99.21,81.97,96.17,94.16,0,72.96,1.75,3765.77,90.24,Careful
